id	implementation	scenario	status	detail
c01	curl	nginx h1 GET	PASS	nginx-ok
c02	curl	nginx h2 ALPN	PASS	HTTP/2 200 server: nginx/1.30.1 date: Sun, 24 May 2026 15:18:52 GMT content-type: text/plain content-length: 9 content-type: text/plain nginx-ok
c03	nghttp2	nginx h2 ALPN	PASS	[ 0.007] Connected The negotiated protocol: h2 [ 0.008] send SETTINGS frame <length=18, flags=0x00, stream_id=0> (niv=3) [SETTINGS_MAX_CONCURRENT_STREAMS(0x03):100] [SETTINGS_INITIAL_WINDOW_SIZE(0x04):65535] [SETTINGS_NO_RFC7540_PRIORITIES(
c04	eta-http	nginx h1 GET	PASS	eta_probe outcome=ok repeat=1 status=200 body_bytes=9 chunks=1 complete=true location="<none>" content_type="text/plain" grpc_status="<none>" trailer_x="<none>"
c05	eta-http	nginx keep-alive repeat	PASS	eta_probe outcome=ok repeat=1 status=200 body_bytes=9 chunks=1 complete=true location="<none>" content_type="text/plain" grpc_status="<none>" trailer_x="<none>" eta_probe outcome=ok repeat=2 status=200 body_bytes=9 chunks=1 complete=true lo
c06	eta-http	nginx redirect not followed	PASS	eta_probe outcome=ok repeat=1 status=302 body_bytes=145 chunks=1 complete=true location="http://127.0.0.1:18080/ok" content_type="text/html" grpc_status="<none>" trailer_x="<none>"
c07	eta-http	nginx HEAD no body	PASS	eta_probe outcome=ok repeat=1 status=200 body_bytes=0 chunks=0 complete=true location="<none>" content_type="text/plain" grpc_status="<none>" trailer_x="<none>"
c08	eta-http	nginx early 413	PASS	eta_probe outcome=ok repeat=1 status=413 body_bytes=183 chunks=1 complete=true location="<none>" content_type="text/html" grpc_status="<none>" trailer_x="<none>"
c09	eta-http	nginx SSE heartbeat body	PASS	eta_probe outcome=ok repeat=1 status=200 body_bytes=20 chunks=1 complete=true location="<none>" content_type="text/event-stream" grpc_status="<none>" trailer_x="<none>"
c10	eta-http	nginx WebSocket upgrade rejection	PASS	eta_probe outcome=ok repeat=1 status=426 body_bytes=17 chunks=1 complete=true location="<none>" content_type="text/plain" grpc_status="<none>" trailer_x="<none>"
c11	eta-http	nginx large body 100MB	PASS	eta_probe outcome=ok repeat=1 status=200 body_bytes=104857600 chunks=1603 complete=true location="<none>" content_type="text/plain" grpc_status="<none>" trailer_x="<none>"
c12	eta-http	nginx h1 trailers	PASS	eta_probe outcome=ok repeat=1 status=200 body_bytes=19 chunks=1 complete=true location="<none>" content_type="text/plain" grpc_status="<none>" trailer_x="nginx-trailer"
c13	eta-http	nginx TLS h1 fallback	PASS	eta_probe outcome=ok repeat=1 status=200 body_bytes=9 chunks=1 complete=true location="<none>" content_type="text/plain" grpc_status="<none>" trailer_x="<none>"
c14	eta-http	caddy h1 GET	PASS	eta_probe outcome=ok repeat=1 status=200 body_bytes=10 chunks=1 complete=true location="<none>" content_type="text/plain; charset=utf-8" grpc_status="<none>" trailer_x="<none>"
c15	curl	caddy h2c prior knowledge	PASS	caddy-ok\n
c16	nghttp2	caddy h2c prior knowledge	PASS	[ 0.000] Connected [ 0.000] send SETTINGS frame <length=18, flags=0x00, stream_id=0> (niv=3) [SETTINGS_MAX_CONCURRENT_STREAMS(0x03):100] [SETTINGS_INITIAL_WINDOW_SIZE(0x04):65535] [SETTINGS_NO_RFC7540_PRIORITIES(0x09):1] [ 0.000] send HEADE
c17	eta-http	caddy h2 ALPN zero-byte body	PASS	eta_probe outcome=ok repeat=1 status=200 body_bytes=0 chunks=0 complete=true location="<none>" content_type="<none>" grpc_status="<none>" trailer_x="<none>"
c18	eta-http	caddy h2 ALPN GET	PASS	eta_probe outcome=ok repeat=1 status=200 body_bytes=10 chunks=1 complete=true location="<none>" content_type="text/plain; charset=utf-8" grpc_status="<none>" trailer_x="<none>"
c19	eta-http	caddy WebSocket upgrade rejection	PASS	eta_probe outcome=ok repeat=1 status=426 body_bytes=18 chunks=1 complete=true location="<none>" content_type="text/plain; charset=utf-8" grpc_status="<none>" trailer_x="<none>"
c20	nghttp2	nghttpd server-push fixture	PASS	[WARNING]: -a, --get-assets option is ignored because the binary was not compiled with libxml2. [ 0.007] Connected [WARNING] Certificate verification failed: hostname mismatch The negotiated protocol: h2 [ 0.008] send SETTINGS frame <length
c21	eta-http	nghttpd server-push rejection	PASS	eta_probe outcome=ok repeat=1 status=200 body_bytes=10 chunks=1 complete=true location="<none>" content_type="<none>" grpc_status="<none>" trailer_x="<none>" [SETTINGS_ENABLE_PUSH(0x02):0] [id=3] [ 4.683] stream_id=2 closed
c22	eta-http	caddy h2 ALPN large body 100MB	PASS	eta_probe outcome=ok repeat=1 status=200 body_bytes=104857600 chunks=6400 complete=true location="<none>" content_type="application/octet-stream" grpc_status="<none>" trailer_x="<none>"
c23	eta-http	nginx 100-Continue final response	PASS	eta_probe outcome=ok repeat=1 status=200 body_bytes=10 chunks=1 complete=true location="<none>" content_type="text/plain" grpc_status="<none>" trailer_x="<none>"
c24	eta-http	nginx SSE long-held first heartbeat	PASS	eta_probe outcome=ok repeat=1 status=200 body_bytes=32518 chunks=1 complete=false location="<none>" content_type="text/event-stream" grpc_status="<none>" trailer_x="<none>"
c25	eta-http	nginx mid-body close	PASS	eta_probe outcome=error repeat=1 detail="Fail(eta-http error=Connection_closed method=GET uri=http://127.0.0.1:18080/large-slow.bin protocol=h1 layer=http_response retryability=retryable_if_body_replayable error_class=connection_closed body
